17494,53280
63889,32207
20470,4259
43836,54
63968,60448
5485,7369
51341,10679
12803,54866
28349,50238
32569,49796
44189,25993
30672,65230
41158,58207
24940,36687
13322,1049
50047,21582
56925,42479
19607,22427
15575,10361
4564,22246
43831,61909
58213,43085
32461,45027
50460,40963
8463,20873
25377,39468
63043,269
36435,22341
19193,22442
11913,2263
63072,2833
17832,7616
48107,27264
39731,10287
51316,14837
37479,53289
5494,59360
29495,28005
41310,13847
4033,9464
3604,29554
40269,26125
31751,32323
60336,60430
60776,43437
15907,58499
24798,52309
36739,12556
59610,59941
51406,1862
33522,42934
51919,237
20626,42364
49365,52538
5122,9003
25542,32
34771,15123
59806,696
47120,44173
54503,45482
10892,26153
28985,32546
20968,60152
45020,39088
8854,61906
40191,6641
30932,56386
11985,17
46737,4972
19197,57075
36699,35792
21795,9916
10193,23720
63715,25585
36877,5010
19478,3586
3725,1578
54411,35462
4316,42676
43097,32380
43308,25257
36691,55731
20253,29265
5847,23813
47407,64909
62886,27988
29647,42707
28029,205
3597,40592
49778,14672
63115,45761
44509,44405
41490,22767
28195,60795
7875,57482
11416,63638
17201,21397
1671,54787
24125,787
59071,35631
46272,63480
49997,41241
2569,54483
17045,23069
17852,6365
57788,7086
42721,54944
60723,37777
14494,22636
15194,2714
43849,45403
57821,7656
20662,14001
10190,30017
25369,53421
53232,41078
52971,53954
19972,58313
39735,65194
516,22206
60254,2132
42435,55667
29391,18958
38597,31285
3831,61636
39811,31381
39770,25777
25504,20488
23873,14329
53409,46499
41168,41320
7843,18500
10360,41245
5720,38275
60235,18978
15019,54177
26084,8812
5951,22387
49979,56773
8028,39759
771,61922
33274,15760
64293,55782
10863,59623
55715,22408
25620,22940
14141,62006
60535,62954
21777,46530
21055,49823
17304,38820
34249,53704
43723,14908
44707,22908
5193,56809
62516,27022
23391,59530
23576,61513
33867,38612
45984,4442
15526,21746
24640,62788
23017,16929
57582,39472
17957,48557
17280,60242
34520,308
51649,32565
53110,31963
30768,39777
17279,16175
52790,53068
19470,13258
63197,35873
51574,16474
27078,51350
28950,52498
55135,14187
53770,29204
22356,53427
30151,19401
11450,49215
62955,23348
13290,65535
33435,9595
43767,55804
41031,43298
60502,27771
24840,8816
4061,32845
21108,13441
52584,38387
33191,21742
23195,25789
55443,51016
54988,11213
84,45237
46176,23453
22239,17590
56080,63013
26721,52202
63400,29465
63752,47147
60161,17985
33159,36599
34491,14060
7009,16815
1564,6882
53001,30885
39934,48743
18185,22693
31220,42309
64555,39098
47926,55353
41003,20481
52567,62121
56268,10549
7760,63103
15701,61556
24282,47260
45035,34021
18741,20355
37094,62910
58469,8966
42906,15143
31695,14079
47833,47969
47174,32579
43633,39768
5187,6453
57921,24994
12665,64019
41629,64327
53526,58818
64480,55691
2985,44614
13201,7007
27441,54468
28097,24391
36076,35081
50682,19217
62188,56324
31415,31248
49265,46241
57734,33622
51544,55046
54325,64554
46938,8209
14764,28478
31313,40910
16954,54047
44534,6752
18810,58161
7018,34403
22905,33829
29113,11949
64935,30520
3024,35334
7656,9188
14600,18972
758,46050
32200,39223
588,58368
1045,48977
31116,64638
20281,14580
57519,9381
